# AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
     50.000     0.85400     270.200 2.289203E+16 6.414800E+10 4.788190E+15 1.374600E+11 7.560300E+12 1.014913E+07
     47.500     1.16000     269.600 3.116377E+16 1.076055E+11 6.518710E+15 1.840210E+11 1.029270E+13 2.077254E+07
     45.000     1.59000     264.800 4.349016E+16 1.958400E+11 9.095680E+15 2.480640E+11 1.436160E+13 5.004800E+07
     42.500     2.20000     259.400 6.142774E+16 3.626730E+11 1.284723E+16 3.380850E+11 2.028510E+13 1.333899E+08
     40.000     3.05000     254.000 8.697170E+16 6.527249E+11 1.818927E+16 4.525560E+11 2.871990E+13 3.507309E+08
     37.500     4.26000     248.500 1.241638E+17 1.093840E+12 2.597870E+16 6.090700E+11 4.101900E+13 7.781180E+08
     35.000     6.00000     243.100 1.787632E+17 1.735330E+12 3.739010E+16 8.229400E+11 5.903700E+13 1.302392E+09
     32.500     8.52000     237.700 2.596105E+17 2.559030E+12 5.429820E+16 1.117140E+12 8.573400E+13 1.873158E+09
     30.000    12.20000     232.300 3.803842E+17 3.540510E+12 7.956630E+16 1.522800E+12 1.256310E+14 2.345112E+09
     27.500    17.63000     227.000 5.625204E+17 4.390620E+12 1.176461E+17 2.026440E+12 1.857570E+14 2.707549E+09
     25.000    25.70000     221.400 8.407510E+17 4.543020E+12 1.758317E+17 2.734225E+12 2.776290E+14 3.146462E+09
     24.000    30.00000     219.200 9.912712E+17 4.265600E+12 2.073280E+17 3.174400E+12 3.273600E+14 3.035520E+09
     23.000    35.00000     217.000 1.168208E+18 3.974600E+12 2.443210E+17 3.390100E+12 3.857700E+14 3.016020E+09
     22.000    40.90000     214.600 1.380402E+18 3.314400E+12 2.886290E+17 3.866800E+12 4.557300E+14 2.982960E+09
     21.000    48.00000     210.700 1.650017E+18 2.971800E+12 3.450590E+17 4.375150E+12 5.448300E+14 2.905760E+09
     20.000    56.50000     206.700 1.979793E+18 2.773400E+12 4.140290E+17 5.150600E+12 6.537300E+14 2.753590E+09
     19.000    66.60000     202.700 2.379755E+18 2.261950E+12 4.976290E+17 6.190600E+12 7.857300E+14 2.523860E+09
     18.000    78.90000     198.800 2.874567E+18 1.438500E+12 6.012930E+17 7.911750E+12 9.494100E+14 2.218167E+09
     17.000    93.70000     194.800 3.483874E+18 8.715000E+11 7.285740E+17 1.010940E+13 1.150380E+15 1.809234E+09
     16.000   111.00000     197.000 4.081019E+18 5.897296E+11 8.535560E+17 1.225200E+13 1.347720E+15 1.302796E+09
     15.000   132.00000     203.700 4.693478E+18 5.899431E+11 9.816730E+17 1.878800E+13 1.550010E+15 8.031870E+08
     14.000   156.00000     210.300 5.372756E+18 5.645850E+11 1.123793E+18 3.344494E+13 1.774410E+15 4.021996E+08
     13.000   182.00000     217.000 6.074680E+18 5.646784E+11 1.270511E+18 6.018210E+13 2.006070E+15 2.705155E+08
     12.000   213.00000     223.600 6.899532E+18 5.395476E+11 1.442936E+18 2.005612E+14 2.278320E+15 2.174760E+08
     11.000   247.00000     230.100 7.774853E+18 5.144914E+11 1.626020E+18 5.684068E+14 2.567400E+15 2.038360E+08
     10.000   286.00000     237.000 8.740364E+18 4.893947E+11 1.828123E+18 1.672426E+15 2.886510E+15 2.081786E+08
      9.000   329.00000     243.600 9.782062E+18 4.894500E+11 2.045901E+18 4.011532E+15 3.230370E+15 2.271048E+08
      8.000   378.00000     250.300 1.093812E+19 4.895745E+11 2.288550E+18 8.362515E+15 3.613500E+15 2.518500E+08
      7.000   432.00000     257.000 1.217482E+19 5.143614E+11 2.545620E+18 1.570002E+16 4.019400E+15 2.801400E+08
      6.000   492.00000     263.600 1.351859E+19 5.397117E+11 2.827770E+18 2.842653E+16 4.464900E+15 3.111900E+08
      5.000   559.00000     270.300 1.497882E+19 5.646733E+11 3.132910E+18 5.015654E+16 4.946700E+15 3.447700E+08
      4.000   633.00000     277.000 1.655144E+19 5.897016E+11 3.461040E+18 7.354296E+16 5.464800E+15 3.808800E+08
      3.000   715.00000     283.700 1.825402E+19 6.401807E+11 3.818430E+18 1.571220E+17 6.029100E+15 4.202100E+08
      2.000   805.00000     287.700 2.026599E+19 6.777576E+11 4.238520E+18 3.110952E+17 6.692400E+15 4.664400E+08
      1.000   904.00000     293.700 2.229340E+19 7.027649E+11 4.662790E+18 4.348219E+17 7.362299E+15 5.131300E+08
      0.000  1013.00000     299.700 2.448130E+19 7.029050E+11 5.120500E+18 6.352850E+17 8.085000E+15 5.635000E+08
